2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H01,Total income,Financial performance,"3,788",ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,365,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"3,397",ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,14,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,11,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"3,393",ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,24,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,18,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,105,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,776,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,1,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,221,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,"2,207",ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,42,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,523,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,536,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,407,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H24,Total assets,Financial position,"3,741",ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H25,Current assets,Financial position,"1,665",ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,864,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,117,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,14,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H29,Other assets,Financial position,"1,212",ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,"3,741",ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"1,789",ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,"1,369",ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,583,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,"306,100",ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,"32,900",ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Percentage,H36,Current ratio,Financial ratios,122,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Percentage,H37,Quick ratio,Financial ratios,82,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,39,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Percentage,H39,Return on equity,Financial ratios,23,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Percentage,H40,Return on total assets,Financial ratios,11,ANZSIC06 groups C191 and C192
2018,Level 3,CC53,Polymer Product and Rubber Product Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,48,ANZSIC06 groups C191 and C192
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H01,Total income,Financial performance,"3,484","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,400,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"3,068","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,8,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,8,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"3,102","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,40,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,17,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,125,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,558,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,C,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,323,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,"2,029","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,10,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,289,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,300,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,392,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H24,Total assets,Financial position,"3,060","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H25,Current assets,Financial position,"1,172","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,"1,247","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,252,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,50,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H29,Other assets,Financial position,641,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,"3,060","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"1,768","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,875,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,418,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,"363,300","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,"40,900","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Percentage,H36,Current ratio,Financial ratios,134,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Percentage,H37,Quick ratio,Financial ratios,100,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,19,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Percentage,H39,Return on equity,Financial ratios,22,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Percentage,H40,Return on total assets,Financial ratios,13,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC611,Non-Metallic Mineral Product Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,58,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H01,Total income,Financial performance,"3,484","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,400,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"3,068","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,8,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,8,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"3,102","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,40,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,17,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,125,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,558,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,C,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,323,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,"2,029","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,10,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,289,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,300,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,392,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H24,Total assets,Financial position,"3,060","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H25,Current assets,Financial position,"1,172","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,"1,247","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,252,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,50,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H29,Other assets,Financial position,641,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,"3,060","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"1,768","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,875,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,418,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,"363,300","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,"40,900","ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Percentage,H36,Current ratio,Financial ratios,134,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Percentage,H37,Quick ratio,Financial ratios,100,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,19,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Percentage,H39,Return on equity,Financial ratios,22,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Percentage,H40,Return on total assets,Financial ratios,13,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,CC61,Non-Metallic Mineral Product Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,58,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H01,Total income,Financial performance,"3,529","ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"3,353","ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,29,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,7,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"3,559","ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,52,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,3,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,122,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,437,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,0,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,"2,647","ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,C,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,441,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,496,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,25,"ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H24,Total assets,Financial position,"2,618","ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H25,Current assets,Financial position,"1,239","ANZSIC06 groups C211, C212, C213, and C214"
2018,Level 4,CC711,Primary Metal and Metal Product Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,904,"ANZSIC06 groups C211, C212, C213, and C214"
